County,description,Symptoms_mental_illness,Unarmed_Armed,Alleged_Threat_Level,Fleeing,Body_Camera,Geography
Bradford,"About 11:15 p.m., 45 bullets were shot into a home on Southeast 137th Terrace. A few hours later, the residents called the Sheriff's Office again to say the gunmen were back in a gray Mercury Marquis sedan. Officers headed in that direction came across a similar Mercury with three men inside and pursued. The car stopped, and DeVaughdre Delsha Rogers allegedly stepped out with a rifle and started to aim at officers who shot and killed him.",No,Allegedly Armed,other,Car,No,Rural
Clatsop,"Cashus Dean Case was shot to death after he refused to drop two black powder pistols, police said. The shooting was reported shortly after 1:30 p.m. in an RV park. Officers with Seaside police responded to a report of an armed man. Case, who lived in the trailer park, was apparently angry that a man had been bitten by a dog and was waving around two pistols. Witnesses disputed the story, saying Case had the guns in holsters, and he'd just stopped a three-dog attack on a man.",No,Allegedly Armed,other,Not fleeing,Yes,Rural
Hamilton,"Driver Donna Lynn Allen and a man allegedly fled a traffic stop for failure to yield. The vehicle allegedly hit a Red Bank police officer, who shot both occupants, killing Allen.",No,Vehicle,attack,Car,No,Rural
Montgomery,"John Carlos Natera-Perez was shot and killed by a police officer while holding his 3-year-old son inside a Silver Spring home during a domestic-violence-related barricade, police said. The boy was not physically harmed during the incident.",Yes,Allegedly Armed,other,Not fleeing,No,Suburban
Alamance,"Rosalio Hernandez Ortega was shot and killed shortly after 5:30 p.m. when officers responded to a 9-1-1 report of a man slashing tires with a machete. Ortega allegedly threatened Sgt. Richard Marsh, 47, and Officer Alek Ayer, 24, with the machete and was shot and killed.",Yes,Allegedly Armed,other,Not fleeing,No,Urban
Bristol,"A neighbor heard Paul B. Meade speaking about harming himself, so she called her husband, who called 9-1-1, police said. When police arrived, Meade allegedly was sitting in a wheelchair at the back of the house with a shotgun across his lap. Meade allegedly did not heed calls by police to drop the gun, instead pointing it toward two officers, who shot and killed him.",Yes,Allegedly Armed,attack,Not fleeing,No,Urban
El Paso,"Deputy Jeremy Juhl, 36, and other officers responded to ""several heavily armed men"" along Loop Road in the southern part of the county. They started taking fire from one of the outbuildings there shortly after their arrival and started shooting back. A person was killed in the firefight. Juhl was wounded in his left side by either some shrapnel or a shotgun pellet.",No,Allegedly Armed,attack,Not fleeing,No,Rural
San Bernardino,"After a vehicle and foot chase, reckless driving suspect Juan Ramon Ramos was killed by a deputy while he was allegedly threatening non-police people and deputies with a box cutter.",No,Allegedly Armed,attack,Foot,No,Suburban
Riverside,"Police responded to reports of shots fired, near the north end of the college campus. Campus police, who received the calls about 1 a.m., were the first to arrive, spotting a man walking on Watkins Drive, just east of Blaine Street. When the officers made contact with the man, he was shot and killed. After the shooting, officers reportedly recovered three weapons, one of them an ""improvised device.""",No,Unclear,other,Not fleeing,No,Suburban
Tulsa,"Bixby police responded to a report of assault with a deadly weapon. Officers got reports of a family car taken from the scene. An officer saw a car that matched the description while going to the scene and tried to stop it, but the driver fled. The car later stopped and started driving toward the officer. The officer fired at the car, and the car drove off. Officers later found the car and Logan Simpson fatally shot with two gunshots.",No,Vehicle,attack,Car,No,Suburban
Pima,"During a pursuit by Pima County Sheriff's deputies, Vincent James Ewer II allegedly rammed a Pascua Yaqui Police Department vehicle in the casino's parking lot before running into a desert area. He was then shot and killed by Deputy Paul Petropoulos and Sergeant Aaron Cross.",No,Allegedly Armed,attack,Foot,No,Suburban
Lucas,"Dale Slocum was allegedly trying to rob a Dollar General store with a replica gun. When a person tried to intervene, Slocum allegedly fatally stabbed him. Officer Jonathan Chio shot and killed Slocum inside the store.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Los Angeles,Gene Evin Atkins is suspected of holding hostages inside a Trader Joe's in Silver Lake. Melyda Corado was shot and killed by LAPD officers during the incident.,No,Unarmed/Did Not Have an Actual Weapon,other,Foot,Yes,Urban
Fresno,Ruben Maya was killed during an exchange of gunfire during a standoff with police.,No,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Urban
Orange,"Officers responded to a family member's report that Eliuth Penaloza Nava was possibly on drugs and hallucinating. Nava was reportedly seated in his vehicle while armed with a knife and gun. Officers arrived on scene at about 9:30 a.m. and attempted to contact Nava, but he fled in his vehicle. He was shot and killed in the vehicle.",Yes,Unarmed/Did Not Have an Actual Weapon,other,Foot,No,Urban
Maricopa,"Police stopped a suspected impaired driver at an intersection. Anthony C. Lopez allegedly refused to follow directions. Police said he accelerated backward, striking one of the officers and hit a patrol car. The officer reportedly dropped his less-lethal Taser, drew his firearm and shot and killed Lopez.",Drug or alcohol use,Vehicle,attack,Not fleeing,No,Urban
Harris,"Police were investigating a robbery of a food delivery person by several reportedly armed people. Officers were directed to an empty apartment where the thieves were supposedly hiding. WHen they went in, there was a gunfight. The suspects were able to get away and a foot pursuit began. During the pursuit, Javier Lopez allegedly fred several shots at the deputies. He eventually stopped near the complex leasing office, turned toward deputies and pointed a revolver at them. Ten Harris County deputies and one Cy Fair ISD police officer shot and killed him.",No,Allegedly Armed,attack,Foot,No,Suburban
Hawaii,Justin Joshua Waiki was suspected of fatally shooting Officer Bronson Kaliloa during a traffic stop when he was shot and killed in a gunbattle with police.,No,Allegedly Armed,attack,Car,No,Rural
Sumter,"Deputies responded to a call regarding a domestic dispute, and then met the wife at a local church, who told deputies Coleman had punched their dog in the face three times. The wife reportedly told police that Coleman started acting strange, shooting a gun in the air 10 times and firing at people's dogs in the neighborhood. The wife also told police that Coleman shot one dog and dragged it to the house. The wife fled the scene with her children and while police were interviewing her, deputies responded to gunshots heard nearby. Deputies said they confronted Coleman, who then raised a firearm at deputies. The two deputies then shot and killed him.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Riverside,"Riverside police officers shot and killed a man after pursuing him from Hemet during a chase in which the suspect fired at the pursuing officers, police said. The pursuit began about 7:40 p.m. in Hemet, where officers tried to contact the man in connection with a shooting investigation.",No,Allegedly Armed,attack,Car,No,Suburban
Peoria,"Police first stopped the vehicle Luis Cruz was in shortly after midnight. Cruz, who was a passenger, was wanted for questioning in a June 21 shooting and a domestic battery, police said. As the car stopped, passenger Cruz got out and ran. Officers pursued him, but at some point, he allegedly turned his body toward the officers and was shot and killed.",No,Allegedly Armed,other,Foot,No,Urban
Los Angeles,"Deputies attempted to pull Carmelo Pizarro over as a suspected DUI. After a brief pursuit, he crashed, and then ran off, police said. Deputies fired near the crash scene, and then caught up with him again several blocks away. More shots were fired, killing him.",Drug or alcohol use,Allegedly Armed,other,Other,No,Suburban
Jefferson,"Police said a man had a big knife and was rolling around on the outdoor hallway of a motel. An officer chased Christopher Roberts and told him to drop the knife, but Roberts refused. The officer tasered Roberts twice. The second time, Roberts was going down concrete steps, fell, and hit his head, killing him.",No,Allegedly Armed,other,Foot,,Suburban
