Victim_age,Victim_gender,Victim_race,Date ,County,Agency_responsible_death,Cause_death
22,Male,Hispanic,2018-08-10 00:00:00,Curry,Clovis Police Department,Gunshot
25,Male,White,2018-08-10 00:00:00,Larimer,Larimer County Sheriff's Office,Gunshot
24,Male,White,2018-08-10 00:00:00,Kingfisher,Canadian County Sheriff's Office,Gunshot
36,Male,White,2018-08-10 00:00:00,Anderson,Oak Ridge Police Department,Gunshot
39,Male,Unknown race,2018-07-10 00:00:00,Honolulu,Honolulu Police Department,Gunshot
39,Male,White,2018-07-10 00:00:00,Bradford,Bradford County Sheriff's Office,Gunshot
36,Male,White,2018-07-10 00:00:00,Placer,Placer County Sheriff's Office,Gunshot
31,Male,Black,2018-05-10 00:00:00,Davidson,Metropolitan Nashville Police Department,Gunshot
48,Male,White,2018-05-10 00:00:00,Klamath,Klamath Falls Police Department,Gunshot
Unknown,Male,Unknown race,2018-05-10 00:00:00,,,Gunshot
45,Male,Black,2018-04-10 00:00:00,Fayette,"West Virginia State Police, Fayette County Sheriff's Office",Gunshot
25,Male,White,2018-03-10 00:00:00,Washington,Greenville Police Department,Gunshot
38,Male,Black,2018-03-10 00:00:00,Shelby,Mt. Pleasant Police Department,Gunshot
36,Male,Black,2018-03-10 00:00:00,San Mateo,San Mateo County Sheriff's Office,Taser
26,Male,White,2018-02-10 00:00:00,Cobb,Cobb County Police Department,Gunshot
36,Female,Black,2018-02-10 00:00:00,San Bernardino,San Bernardino County Sheriff's Office,Gunshot
23,Male,White,2018-01-10 00:00:00,Dakota,Hastings Police Department,Gunshot
29,Male,Unknown race,2018-01-10 00:00:00,Harris,Harris County Sheriff's Office,Gunshot
33,Male,White,2018-01-10 00:00:00,Orange,Orlando Police Department,Gunshot
27,Male,Black,30/09/2018,Multnomah,Portland Police Bureau,Gunshot
40,Male,White,30/09/2018,,,Gunshot
40,Male,White,29/09/2018,Rockingham,New Hampshire State Police,Gunshot
58,Male,White,29/09/2018,Canyon,Nampa Police Department,Gunshot
54,Male,White,29/09/2018,Okmulgee,Okmulgee County Sheriff's Office,Gunshot
23,Male,Black,28/09/2018,Harris,Houston Police Department,Gunshot
24,Male,White,28/09/2018,Charleston,Charleston County Sheriff's Office,Gunshot
19,Male,White,27/09/2018,Garfield,Enid Police Department,Gunshot
32,Male,Hispanic,27/09/2018,Dona Ana,Las Cruces Police Department,Gunshot
37,Male,Hispanic,27/09/2018,Honolulu,Honolulu Police Department,"Gunshot, Taser"
41,Male,Black,27/09/2018,Putnam,Palatka Police Department,Gunshot
27,Male,Unknown race,27/09/2018,Benton,Kennewick Police Department,Taser
23,Male,White,27/09/2018,Tangipahoa,Louisiana State Police,Gunshot
29,Male,Black,26/09/2018,Essex,"Newark Police Department, Essex County Sheriff's Office",Gunshot
34,Male,Black,25/09/2018,Orange,Orlando Police Department,Gunshot
37,Male,Black,25/09/2018,Essex,East Orange Police Department,Gunshot
41,Male,Hispanic,25/09/2018,Dutchess,New York State Police,Gunshot
20,Male,White,24/09/2018,Maricopa,Peoria Police Department,Gunshot
29,Male,White,24/09/2018,Whitley,Kentucky State Police,Gunshot
42,Male,Hispanic,24/09/2018,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
29,Male,Black,23/09/2018,Baltimore City,Baltimore Police Department,Gunshot
36,Male,Unknown race,23/09/2018,Island,Island County Sheriff's Office,Gunshot
35,Male,White,23/09/2018,Hamilton,Hamilton County Sheriff's Office,Taser
44,Male,Unknown race,23/09/2018,Washoe,Reno Police Department,Gunshot
26,Male,White,22/09/2018,Clark,Las Vegas Metropolitan Police Department,Gunshot
28,Male,White,20/09/2018,Boulder,Longmont Police Department,Gunshot
40,Male,Hispanic,20/09/2018,Miami-Dade,"Miami-Dade Police Department, Miami Police Department",Gunshot
55,Male,White,20/09/2018,Honolulu,Honolulu Police Department,Gunshot
39,Male,Hispanic,19/09/2018,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
43,Male,Asian,19/09/2018,Dane,"Middleton Police Department, Dane County Sheriff's Office",Gunshot
49,Male,Unknown race,19/09/2018,Galveston,League City Police Department,Gunshot
61,Male,White,19/09/2018,Fayette,"German Township Police Department, Masontown Police Department",Gunshot
33,Male,White,19/09/2018,Jackson,Eagle Point Police Department,Gunshot
18,Male,Hispanic,19/09/2018,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
37,Male,White,18/09/2018,Snohomish,Marysville Police Department,Gunshot
43,Male,White,18/09/2018,Virginia Beach City,Virginia Beach Police Department,Gunshot
73,Male,White,18/09/2018,Butler,Pennsylvania State Police,Gunshot
46,Male,Unknown race,18/09/2018,Orange,Garden Grove Police Department,Gunshot
23,Male,Hispanic,17/09/2018,Prince George's,Prince George's County Police Department,Gunshot
54,Female,White,17/09/2018,Queens,New York Police Department,Gunshot
44,Male,White,17/09/2018,Christian,Christian County Sheriff's Department,Gunshot
29,Male,Hispanic,16/09/2018,Lancaster,Lancaster Police Department,Gunshot
29,Male,White,16/09/2018,Sedgwick,Sedgwick County Sheriff's Office,Gunshot
31,Male,Black,16/09/2018,Caddo,Shreveport Police Department,Gunshot
40,Male,Unknown race,16/09/2018,Walla Walla,Walla Walla Police Department,Gunshot
25,Male,White,16/09/2018,Manitowoc,Manitowoc Police Department,Gunshot
31,Male,White,15/09/2018,Polk,Ankeny Police Department,Gunshot
34,Male,Unknown race,15/09/2018,Lake,Vernon Hills Police Department,Gunshot
50,Male,White,15/09/2018,Pulaski,Jacksonville Police Department,Gunshot
19,Male,Black,15/09/2018,Caroline,Greensboro MD Police Department,Taser
35,Female,Hispanic,15/09/2018,Webb,U.S. Customs and Border Patrol,Gunshot
23,Male,Black,14/09/2018,Tarrant,Fort Worth Police Department,Gunshot
40,Male,White,14/09/2018,Maricopa,Mesa Police Department,Gunshot
46,Male,Black,14/09/2018,Wayne,Detroit Police Department,Gunshot
52,Male,Hispanic,14/09/2018,Webb,Laredo Police Department,Gunshot
53,Male,Black,14/09/2018,Craven,Craven County Sheriff's Office,Gunshot
28,Transgender,Hispanic,14/09/2018,Webb,U.S. Customs and Border Patrol,Gunshot
47,Male,Unknown race,14/09/2018,Dona Ana,Las Cruces Police Department,Gunshot
36,Male,Unknown race,13/09/2018,Clark,Henderson Police Department,Gunshot
42,Female,White,13/09/2018,Webb,U.S. Customs and Border Patrol,Gunshot
31,Male,White,2018-12-09 00:00:00,Forsyth,Forsyth County Sheriff's Office,Gunshot
32,Male,Hispanic,2018-12-09 00:00:00,Erie,Buffalo Police Department,Gunshot
38,Male,Black,2018-12-09 00:00:00,Lake,Gary Police Department,Gunshot
57,Male,White,2018-11-09 00:00:00,Scott,"Scott County Sheriff's Office, Georgetown Police Department, U.S. Marshals Service",Gunshot
53,Male,Unknown race,2018-10-09 00:00:00,Pima,Tucson Police Department,Gunshot
Unknown,Male,White,2018-10-09 00:00:00,,,Gunshot
24,Male,Black,2018-09-09 00:00:00,Pitt,Greenville Police Department,Gunshot
39,Female,Black,2018-09-09 00:00:00,Fort Bend,Missouri City Police Department,"Gunshot, Taser"
43,Male,Unknown race,2018-09-09 00:00:00,Snohomish,Snohomish County Sheriff's Office,Gunshot
43,Male,Unknown race,2018-08-09 00:00:00,Harris,Houston Police Department,Gunshot
28,Male,Black,2018-07-09 00:00:00,Providence,Pawtucket Police Department,Gunshot
34,Male,Unknown race,2018-07-09 00:00:00,Washington,Greenville Police Department,Gunshot
63,Male,White,2018-07-09 00:00:00,Mobile,"Citronelle Police Department, Satsuma Police Department",Gunshot
29,Male,Hispanic,2018-06-09 00:00:00,Hamilton,Cincinnati Police Department,Gunshot
30,Male,White,2018-06-09 00:00:00,Colquitt,Colquitt County Sheriff's Office,Gunshot
49,Female,White,2018-06-09 00:00:00,Galveston,Galveston Police Department,Gunshot
19,Male,Black,2018-06-09 00:00:00,Sacramento,Sacramento Police Department,Gunshot
26,Male,Black,2018-06-09 00:00:00,Dallas,Dallas Police Department,Gunshot
45,Male,White,2018-05-09 00:00:00,Yadkin,Yadkin County Sheriff's Office,Gunshot
23,Male,Black,2018-05-09 00:00:00,Broward,Hollywood Police Department,Gunshot
33,Male,White,2018-05-09 00:00:00,Jefferson,Alabama Department of Public Safety,Gunshot
27,Male,White,2018-04-09 00:00:00,Adams,Westminster Police Department,Gunshot
21,Male,Black,2018-03-09 00:00:00,Newton,Covington Police Department,Gunshot
40,Male,White,2018-03-09 00:00:00,Spokane,Cheney Police Department,Gunshot
70,Male,Hispanic,2018-03-09 00:00:00,Sandoval,Bernalillo Police Department,Gunshot
42,Female,White,2018-03-09 00:00:00,Amador,California Highway Patrol,Gunshot
24,Male,Black,2018-01-09 00:00:00,Tarrant,Arlington Police Department,Gunshot
36,Male,White,31/08/2018,Williamson,Fairview Police Department,Gunshot
61,Male,White,31/08/2018,Douglas,Douglas County Sheriff's Office,Gunshot
64,Male,White,31/08/2018,Citrus,Citrus County Sheriff's Office,Gunshot
45,Female,White,30/08/2018,Citrus,"Citrus County Sheriff's Office, Hernando County Sheriff's Office",Gunshot
49,Female,Hispanic,30/08/2018,Los Angeles,South Pasadena Police Department,Gunshot
72,Male,White,29/08/2018,Madison,Fayette County Sheriff's Office,Gunshot
17,Male,Black,29/08/2018,Harris,"Texas Department of Public Safety, Harris County Sheriff's Office",Gunshot
18,Male,White,28/08/2018,San Bernardino,Redlands Police Department,Gunshot
50,Male,Black,28/08/2018,Sussex,Delaware State Police,Gunshot
37,Male,Hispanic,28/08/2018,Edgecombe,Tarboro Police Department,Gunshot
20,Male,White,27/08/2018,Maricopa,Phoenix Police Department,Gunshot
25,Male,White,27/08/2018,Maricopa,"Phoenix Police Department, Arizona Department of Public Safety",Gunshot
34,Male,White,27/08/2018,Shasta,Redding Police Department,Gunshot
42,Male,White,27/08/2018,McKean,Pennsylvania State Police,Gunshot
Unknown,Male,Unknown race,27/08/2018,Harris,Harris County Sheriff's Office,Gunshot
43,Male,Unknown race,27/08/2018,Madison,Kentucky State Police,Gunshot
Unknown,Male,Unknown race,27/08/2018,Wood,Perrysburg Township Police Department,Gunshot
38,Male,Hispanic,26/08/2018,Miami-Dade,Miami Police Department,Taser
41,Female,White,26/08/2018,Cherokee,Cherokee County Sheriff's Office,Gunshot
18,Male,Unknown race,25/08/2018,Clark,Las Vegas Metropolitan Police Department,Gunshot
18,Male,White,25/08/2018,Montgomery,Montgomery County Sheriff's Office,Gunshot
29,Male,White,25/08/2018,York,"West Manchester Township Police Department, Northern York County Regional Police Department",Gunshot
37,Female,White,25/08/2018,Alamosa,Colorado State Patrol,Gunshot
27,Male,Unknown race,25/08/2018,Adams,Westminster Police Department,Gunshot
30,Male,Unknown race,25/08/2018,Mecklenburg,U.S. Immigration and Customs Enforcement,Gunshot
20,Male,Black,24/08/2018,Hamilton,Cincinnati Police Department,Gunshot
41,Male,Hispanic,24/08/2018,Kern,California Highway Patrol,Gunshot
44,Male,White,24/08/2018,Spartanburg,Spartanburg County Sheriff's Office,Gunshot
25,Male,Black,24/08/2018,Tulsa,Tulsa Police Department,Taser
35,Male,Unknown race,24/08/2018,Jefferson,"Jefferson County Sheriff's Office, Herculaneum Police Department, Festus Police Department",Gunshot
23,Female,White,23/08/2018,Franklin,Columbus Division of Police,Gunshot
55,Male,Unknown race,23/08/2018,King,Shoreline Police Department,Gunshot
36,Male,Unknown race,23/08/2018,Erie,Pennsylvania State Police,Gunshot
Unknown,Male,Unknown race,23/08/2018,Orange,Santa Ana Police Department,Gunshot
23,Female,Hispanic,23/08/2018,Valencia,Valencia County Sheriff's Office,Gunshot
38,Male,White,20/08/2018,Strafford,Rochester NH Police Department,Gunshot
23,Male,Unknown race,20/08/2018,Orange,Orange County Sheriff's Department,Taser
36,Male,Black,20/08/2018,Philadelphia,Philadelphia Police Department,Gunshot
33,Male,Black,19/08/2018,Fulton,Atlanta Police Department,Gunshot
42,Male,Unknown race,19/08/2018,Spokane,Spokane County Sheriff's Office,Gunshot
67,Male,White,19/08/2018,Cascade,Great Falls Police Department,Gunshot
21,Male,Black,19/08/2018,Kern,Bakersfield Police Department,Gunshot
15,Male,Hispanic,18/08/2018,Stanislaus,Ceres Police Department,Gunshot
28,Male,Hispanic,18/08/2018,Maricopa,Phoenix Police Department,"Gunshot, Taser"
30,Male,White,18/08/2018,Los Angeles,Culver City Police Department,Gunshot
17,Male,Hispanic,17/08/2018,Dallas,Dallas Police Department,Gunshot
21,Male,Black,17/08/2018,Travis,Austin Police Department,"Gunshot, Taser"
30,Male,Black,16/08/2018,Matanuska Susitna,Wasilla Police Department,Gunshot
41,Male,Hispanic,16/08/2018,Midland,Midland Police Department,Gunshot
28,Male,Hispanic,16/08/2018,San Diego,San Diego County Sheriff's Department,Taser
58,Male,White,15/08/2018,Baker,Baker County Sheriff's Office,Gunshot
31,Male,White,14/08/2018,Union,Creston Police Department,Gunshot
Unknown,Male,Hispanic,14/08/2018,Fresno,Fresno Police Department,Gunshot
32,Male,Unknown race,13/08/2018,Cook,"Park Forest Police Department, Richton Park Police Department",Gunshot
33,Male,Black,13/08/2018,Oklahoma,Oklahoma City Police Department,Gunshot
48,Male,Black,13/08/2018,Milwaukee,Milwaukee Police Department,Gunshot
55,Male,Unknown race,13/08/2018,San Mateo,Redwood City Police Department,Taser
35,Male,White,2018-12-08 00:00:00,Rusk,Rusk County Sheriff's Office,Gunshot
40,Male,Black,2018-12-08 00:00:00,Amherst,Amherst County Sheriff's Office,Gunshot
Unknown,Female,Unknown race,2018-12-08 00:00:00,Smith,Smith County Sheriff's Office,Gunshot
21,Male,Hispanic,2018-12-08 00:00:00,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
49,Male,Unknown race,2018-11-08 00:00:00,Summit,Akron Police Department,Gunshot
43,Male,White,2018-10-08 00:00:00,Livingston,Livingston Parish Sheriff's Office,Gunshot
28,Male,Black,2018-09-08 00:00:00,Franklin,Columbus Division of Police,Gunshot
30,Male,Black,2018-09-08 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
40,Male,Black,2018-09-08 00:00:00,Prince George's,Prince George's County Police Department,Gunshot
48,Male,Black,2018-09-08 00:00:00,Philadelphia,Philadelphia Police Department,Gunshot
37,Male,White,2018-08-08 00:00:00,Durham,Durham Police Department,Gunshot
52,Male,Black,2018-08-08 00:00:00,Broward,Hollywood Police Department,Gunshot
54,Male,Black,2018-08-08 00:00:00,Douglas,Omaha Police Department,Gunshot
48,Male,Black,2018-08-08 00:00:00,San Diego,San Diego Police Department,Gunshot
25,Male,White,2018-08-08 00:00:00,Smith,Carthage Police Department,Gunshot
24,Male,White,2018-07-08 00:00:00,Monroe,Monroe County Sheriff's Office,Gunshot
70,Male,Hispanic,2018-07-08 00:00:00,Los Angeles,Los Angeles Police Department,Gunshot
42,Male,Hispanic,2018-07-08 00:00:00,Maricopa,U.S. Marshals Service,Gunshot
26,Male,White,2018-07-08 00:00:00,Caddo,Shreveport Police Department,Gunshot
47,Male,Unknown race,2018-06-08 00:00:00,Clay,Kansas City Police Department,Gunshot
59,Male,Black,2018-06-08 00:00:00,Philadelphia,Philadelphia Police Department,Gunshot
62,Male,Black,2018-06-08 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
Unknown,Male,Unknown race,2018-06-08 00:00:00,Okeechobee,"Okeechobee County Sheriff's Office, Okeechobee Police Department",Gunshot
39,Male,Black,2018-06-08 00:00:00,Fulton,DeKalb County Sheriff's Office,Gunshot
43,Male,Native American,2018-05-08 00:00:00,Ramsey,St. Paul Police Department,Gunshot
58,Male,Unknown race,2018-05-08 00:00:00,San Bernardino,San Bernardino County Sheriff's Office,Gunshot
68,Male,White,2018-05-08 00:00:00,Crawford,Van Buren Police Department,Gunshot
33,Male,White,2018-04-08 00:00:00,Clay,"Clay County Sheriff's Office, Liberty Police Department",Gunshot
38,Male,White,2018-04-08 00:00:00,Palm Beach,Delray Beach Police Department,Gunshot
28,Male,Unknown race,2018-04-08 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
29,Male,Hispanic,2018-03-08 00:00:00,Volusia,Volusia County Sheriff's Office,Gunshot
31,Male,White,2018-03-08 00:00:00,Spokane,Spokane County Sheriff's Office,Gunshot
34,Male,Black,2018-03-08 00:00:00,Jefferson,Pine Bluff Police Department,Gunshot
35,Male,Unknown race,2018-03-08 00:00:00,Wapello,Ottumwa Police Department,Gunshot
49,Male,White,2018-03-08 00:00:00,Poinsett,Trumann Police Department,Gunshot
29,Male,White,2018-03-08 00:00:00,Dona Ana,Las Cruces Police Department,Gunshot
33,Male,White,2018-03-08 00:00:00,Broward,Sunrise Police Department,Gunshot
28,Male,Native American,2018-02-08 00:00:00,Wade Hampton,Alaska State Troopers,Gunshot
19,Male,White,2018-02-08 00:00:00,Orange,Orange County Sheriff's Office,Gunshot
41,Male,Black,2018-02-08 00:00:00,Caddo,Shreveport City Marshal,Gunshot
57,Male,Hispanic,2018-02-08 00:00:00,Jefferson,Westminster Police Department,Gunshot
27,Male,Black,2018-01-08 00:00:00,Prince George's,Prince George's County Police Department,Gunshot
35,Male,Hispanic,2018-01-08 00:00:00,Deaf Smith,Amarillo Police Department,Gunshot
41,Male,Black,2018-01-08 00:00:00,Sussex,Virginia State Police,Gunshot
38,Male,Unknown race,2018-01-08 00:00:00,Alameda,Pleasanton Police Department,Taser
23,Male,White,31/07/2018,Maricopa,Glendale Police Department,Gunshot
53,Male,White,31/07/2018,Pima,Tucson Police Department,Gunshot
35,Male,Black,30/07/2018,Mississippi,Arkansas State Police,Gunshot
73,Male,White,30/07/2018,Arapahoe,Aurora Police Department,Gunshot
33,Male,White,28/07/2018,Moore,Moore County Sheriff's Office,Gunshot
31,Male,Unknown race,28/07/2018,Denton,Pilot Point Police Department,Gunshot
32,Male,White,28/07/2018,Rapides,Ball Police Department,Gunshot
44,Male,Hispanic,28/07/2018,Lehigh,South Whitehall Township Police Department,Gunshot
Unknown,Male,Unknown race,28/07/2018,Adams,Aurora Police Department,Gunshot
25,Male,Black,27/07/2018,Lucas,Toledo Police Department,Gunshot
32,Male,Hispanic,27/07/2018,Los Angeles,Los Angeles Police Department,Gunshot
60,Female,Black,27/07/2018,Chatham,Savannah Police Department,Gunshot
18,Male,Hispanic,26/07/2018,King,King County Sheriff's Office,Gunshot
23,Male,Unknown race,26/07/2018,Walton,"Walton County Sheriff's Office, Social Circle Police Department",Gunshot
25,Male,Black,26/07/2018,Davidson,Metropolitan Nashville Police Department,Gunshot
30,Male,White,26/07/2018,Washington,Springdale Police Department,Gunshot
36,Male,White,26/07/2018,Lake,Lakemoor Police Department,Gunshot
53,Male,Pacific Islander,26/07/2018,Honolulu,Honolulu Police Department,Gunshot
24,Male,Hispanic,26/07/2018,Los Angeles,Redondo Beach Police Department,Gunshot
23,Male,Hispanic,25/07/2018,Potter,Amarillo Police Department,Gunshot
29,Male,Black,25/07/2018,Shelby,Memphis Police Department,Gunshot
64,Male,White,25/07/2018,Campbell,"Campbell County Sheriff's Office, Tennessee Highway Patrol",Gunshot
56,Male,White,25/07/2018,Mohave,Lake Havasu City Police Department,Gunshot
54,Male,White,25/07/2018,Spokane,Spokane County Sheriff's Office,Gunshot
20,Male,Black,24/07/2018,Bradford,Bradford County Sheriff's Office,Gunshot
44,Male,White,24/07/2018,Clatsop,Seaside Police Department,Gunshot
39,Female,White,24/07/2018,Hamilton,Red Bank Police Department,Gunshot
30,Male,Hispanic,23/07/2018,Montgomery,Montgomery County Police Department,Gunshot
33,Male,Hispanic,23/07/2018,Alamance,Burlington Police Department,Gunshot
